Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you can’t stay focused long enough to finish important tasks?,"

Section 2: Cross-Over Questions

Q4. How often do you feel tired or drained even on days when you haven’t worked very hard?",Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. What’s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,"

Q15. Do you feel confident you could clearly name your top 3 personal values?","Q16a. Please try listing up to 3 values that are most important to you. Don't worry if you’re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 – optional),Q16c. Please list a third personal value (Value 3 – optional)
"Yes, I consent",11–20 minutes,"Email or messaging apps, Social media scrolling, Multitasking / switching tasks",Rarely,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,"Probably be to close certain windows, such as emails and browser games",Untroubled,45 - 54,Male,Self-employed,UK - England,Not really,intelligence,honesty,security
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise",Remove day to day distractionss,unproductive,25 - 34,Female,Employed full-time,uk,Not really,"loyalty, ",success,confidence
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Often,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Taking breaks / exercise",To have  lock on my phone between 9-5.,Frustrated,35 - 44,Female,Employed full-time,UK/West Midlands,Yes definitely,Honesty,Loyalty,Trust
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise","Getting more sleep, sometimes I work late as that is the best time to work but then it can set me back the next day and I struggle to focus when tired",Frustrated,45 - 54,Female,Employed part-time,United Kingdom/North West,Yes definitely,Consistency,Honesty,Kindnes
"Yes, I consent",More than 30 minutes,Multitasking / switching tasks,Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Feel more enthusiastic about exercise,Irritation,55 +,Female,Other,England,Yes definitely,Integrity ,Intelligence,Decency
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Internal thoughts/worries",Sometimes,Often,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise",stop being distracted by other things,annoyed,25 - 34,Female,Employed full-time,UK,Not really,family,loyal,caring
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Rarely,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise, Aligning tasks with personal priorities or values",Have enough will power to turn off emails,resigned,55 +,Female,Employed part-time,UK,Not really,honesty,loyal,being true to myself
"Yes, I consent",21–30 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Often,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,Silencing notifications,Being able to ignore noises ,Frustrated,55 +,Female,Other,Tyne & Wear,Yes definitely,"Honesty, kindness, empathy",,
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Remote work,Frustrated,25 - 34,Female,Employed full-time,North east England ,Somewhat,Kindness,Loyalty,Friendship 
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Rarely,Never,Often,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise",Probably my phone,frustration ,35 - 44,Female,Employed full-time,united Kingdom ,Not really,family,friendsip,honesty
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Sometimes,Rarely,Rarely,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",i would only work on one project at a time and not deal with any outside questions,annoyed,35 - 44,Female,Employed full-time,UK,Yes definitely,"Honesty, directness, equality",Directness,Equality
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Less screen time ,Disappointed,25 - 34,Female,Self-employed,England,Somewhat,respect ,honesty,kindness
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Sometimes,Often,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Taking breaks / exercise",Relaxed work environment,Tired and lazy,25 - 34,Male,Employed full-time,United Kingdom,Not really,"Time management, prioritising tasks & communication ",,
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment",Sometimes,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,Working in quiet spaces,learning to be better at taking breaks when needed,frustrated ,25 - 34,Female,Self-employed,England,Somewhat,kindness,honesty,passion
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Often,Neutral,Neutral,"Working in quiet spaces, Using apps/tools to block distractions",Work from home more,Frustrated,55 +,Male,Employed full-time,Australia,Yes definitely,Honesty,Integrity,Empathy
"Yes, I consent",21–30 minutes,"Email or messaging apps, Social media scrolling",Sometimes,Often,Sometimes,Very strongly aligned,I feel somewhat more focused,None of the above,Less brain fog!,disappointed,55 +,Male,Self-employed,UK / London,Not really,Integrity,,
"Yes, I consent",5–10 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Often,Often,Somewhat aligned,I feel somewhat more focused,Aligning tasks with personal priorities or values,Less scrolling on phone,Frustrated ,45 - 54,Female,Employed full-time,England,Yes definitely,Kindness ,Fairness,Integrity
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",Less interruption ,Frustrated ,25 - 34,Female,Employed part-time,United Kingdom,Yes definitely,Family,Health,Welfare
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",A private space where I can work quietly,Frustrated,25 - 34,Male,Employed full-time,UK,Somewhat,Hardworking,Loyal,Reliable
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Rarely,Sometimes,Sometimes,Neutral,No noticeable difference,Aligning tasks with personal priorities or values,My willpower to not look at my phone when completing a task,Inadequate ,18 - 24,Female,Employed full-time,United Kingdom ,Somewhat,Hard-working ,Understanding,Empathetic 
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment, Internal thoughts/worries",Often,Often,Often,Neutral,No noticeable difference,"Working in quiet spaces, Taking breaks / exercise","not sure, its an odd question, i just wish i had a better ability to focus",frustrated,25 - 34,Female,Employed part-time,UK,"No, not at all",respect,,
"Yes, I consent",5–10 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Almost always,Often,Often,Not aligned at all,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Using apps/tools to block distractions",ADHD medication,frustrated,35 - 44,Male,Employed full-time,United Kingdom,Not really,Honesty,Kindness,Caring
"Yes, I consent",More than 30 minutes,"Social media scrolling, Background noise / environment, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Learn to tell people more to give me space to work ,Annoyed ,45 - 54,Male,Employed full-time,Scotland ,Somewhat,Honesty ,Loyalty,Trust
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Almost always,Often,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Remove social media,Frustrated,25 - 34,Male,Employed full-time,United Kingdom,Somewhat,Benevolence,Honesty,Open-mindedness
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Neutral,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Reduce my attention to social media,Frustrated,25 - 34,Male,Employed full-time,"London, England",Yes definitely,Family,Personal Responsibility,Security
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Sometimes,Rarely,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",To try and be less distracted or succumb to being distracted. ,Annoyed,35 - 44,Male,Employed full-time,United Kingdom,Yes definitely,Loyalty,Kindness,Respect
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",work on my own ,distress,45 - 54,Male,Employed full-time,UK,Somewhat,honesty,generous,kind
"Yes, I consent",11–20 minutes,"Background noise / environment, Internal thoughts/worries",Never,Sometimes,Rarely,Very strongly aligned,Neutral,"Silencing notifications, Working in quiet spaces",Less background noise,fine,55 +,Female,Employed full-time,uk,Yes definitely,"Personal belief, slow living, listen",,
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",turn phone off,frustrated,55 +,Male,Unemployed,uk,Somewhat,family ,honesty,loyal
"Yes, I consent",5–10 minutes,"Social media scrolling, Multitasking / switching tasks",Rarely,Sometimes,Sometimes,Somewhat aligned,No noticeable difference,"Using apps/tools to block distractions, Taking breaks / exercise",Be able to focus for longer,Resigned,25 - 34,Female,Employed full-time,Scotland,Not really,Creativity,,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Taking breaks / exercise",I would get better quality of sleep and sleep/wake at a consistent time everyday. ,frustrated,18 - 24,Female,Employed full-time,uk,Yes definitely,growth,gratitude,freedom
"Yes, I consent",11–20 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Almost always,Often,Sometimes,Neutral,I feel somewhat more focused,None of the above,Do tasks that I am confident in and have interest in,Annoyed,25 - 34,Female,Employed full-time,United Kingdom,Not really,Kindness,Empathy,
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Often,Often,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Using apps/tools to block distractions, Aligning tasks with personal priorities or values",lose my phone,disappointed,45 - 54,Male,Employed full-time,UK,Somewhat,"Caring, friendly, loyal",,
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Often,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,"More will power to ignore phone notifications and other distractions, such as playing with pets",Fine,45 - 54,Male,Employed full-time,United Kingdom,Not really,Health,Family happiness,Financially OK
"Yes, I consent",5–10 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Often,Almost always,Often,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Be more self disciplined,frustrated,18 - 24,Female,Employed full-time,Scotland,Somewhat,Honesty,Loyalty,Politeness
"Yes, I consent",More than 30 minutes,Smartphone notifications,Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Aligning tasks with personal priorities or values",I would spend less time looking at distracting material on the internet during work time.,absent,55 +,Male,Employed full-time,United Kingdom,Somewhat,honesty,loyalty,compassion
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Often,Often,Often,Neutral,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise",I would like to feel less tired,Conflicted ,35 - 44,Female,Employed full-time,United Kingdom,Not really,Integrity,Honesty,Loyalty
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Often,Often,Somewhat misaligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",Being able to ignore family and friends when they reach out and not worry about what they want.,Bored.,35 - 44,Male,Employed full-time,United Kingdom,Yes definitely,Honesty.,Loyalty.,Respect.
"Yes, I consent",5–10 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Rarely,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Taking breaks / exercise",To be able to sit still and concentrate ,Frustrated,25 - 34,Female,Employed full-time,UK,Somewhat,Honesty ,Kindness,Respectful
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Often,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,None of the above,I think my working environment contributes a lot. Working alone makes me feel less guilty for getting distracted.,Lazy,25 - 34,Male,Employed full-time,UK,Not really,"Growth, Hard work, honesty",,
"Yes, I consent",11–20 minutes,Physical and cognitive fatigue due to illness ,Almost always,Almost always,Never,Very strongly aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",Have optimal physical health,Infuriated ,45 - 54,Male,Unemployed,England ,Somewhat,Trustworthiness ,Honesty ,Morality 
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Being able to work more flexible hours that suit my needs. ,Lost,35 - 44,Male,Employed full-time,united kingdom,Somewhat,honest,caring,hard worker 
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment",Rarely,Rarely,Rarely,Very strongly aligned,I feel much more focused and energized,"Working in quiet spaces, Aligning tasks with personal priorities or values",More control over my work environment at all times to better reduce distractions around me,frustrated,35 - 44,Male,Employed full-time,"United States, southeast",Somewhat,creativity,dependability,perseverence
"Yes, I consent",5–10 minutes,"Email or messaging apps, Social media scrolling, Multitasking / switching tasks",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Using apps/tools to block distractions, Aligning tasks with personal priorities or values",Go to the office more cos I achieve more when `I go to the office,Human,25 - 34,Female,Employed full-time,United Kingdom,Somewhat,"Love, connection, purpose",,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Rarely,Rarely,Rarely,Somewhat aligned,No noticeable difference,"Silencing notifications, Using apps/tools to block distractions",Nothing comes to mind.,irritated,55 +,Male,Self-employed,US,Yes definitely,Honesty ,Compassion, Loyalty
"Yes, I consent",Less than 5 minutes,"Smartphone notifications, Multitasking / switching tasks, Background noise / environment",Almost always,Often,Almost always,Neutral,Neutral,None of the above,Everything. I need help with this.,Fedup,55 +,Female,Employed full-time,UK,Not really,Myself,Time,Health
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Often,Often,Often,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Less phone usage,guilty,18 - 24,Female,Student,Scotland,Not really,authenticity,kindness,creativity
"Yes, I consent",More than 30 minutes,"Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise","Sound proofing my office would be good. I'm usually pretty good at blocking out sound, but when my kids are around they are a bit noisy.","A little irritated, but it's not such a huge issue.",45 - 54,Male,Self-employed,Australia,Somewhat,Truthfulness,Morally centred,Remaining active
"Yes, I consent",5–10 minutes,"Smartphone notifications, Social media scrolling",Often,Often,Sometimes,Neutral,I feel somewhat more focused,"Aligning tasks with personal priorities or values, None of the above",Being able to do tasks without having to put something on in the background to stay focussed,frustrated,25 - 34,Female,Employed full-time,uk,Somewhat,"family, money, experiences",,
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Often,Often,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Taking breaks / exercise",procrastinate less on tasks i dont enjoy/like doing ,exhausted or overstimulated,35 - 44,Female,Employed full-time,UK,Yes definitely,"integrity, "," respect,",honesty
"Yes, I consent",21–30 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Being able to stop distracting thoughts in my mind,resigned,45 - 54,Female,Unemployed,England,Somewhat,Freedom,open mindedness,compassion
"Yes, I consent",More than 30 minutes,Smartphone notifications,Rarely,Sometimes,Never,Somewhat misaligned,I feel somewhat more focused,Taking breaks / exercise,I really don't know...,Unfocused,45 - 54,Male,Self-employed,United States,Yes definitely,Minimalism,Critical thinking,Humbleness
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Background noise / environment, Colleagues, family, or friends",Rarely,Often,Sometimes,Neutral,No noticeable difference,Silencing notifications,no phones around for anybody,frustrated,55 +,Female,Employed part-time,united kingdom,Yes definitely,honesty,integrity,loyalty
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Neutral,Neutral,None of the above,I don't think I have any issue with focussing or staying focussed so I wouldn't change anything.,Stressed!,55 +,Male,Employed full-time,Scotland,"No, not at all",Pleasantness,Loyalty,Decency
"Yes, I consent",11–20 minutes,Email or messaging apps,Never,Rarely,Rarely,Neutral,Neutral,Taking breaks / exercise,Having the cat not wanting attention,annoyed,55 +,Male,Other,England,Somewhat,Honesty,Faithful,Calmness
"Yes, I consent",21–30 minutes,"Social media scrolling, Internal thoughts/worries, Boredom",Sometimes,Almost always,Rarely,Neutral,No noticeable difference,Taking breaks / exercise,Medication,Annoyed,25 - 34,Non-binary,Employed full-time,United Kingdom,Yes definitely,Persistence, Consistency,Creativeness
"Yes, I consent",5–10 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Sometimes,Often,Often,Somewhat misaligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Better work life balance,Distracted,35 - 44,Male,Employed full-time,United Kingdom,Yes definitely,"Loyalty, honestly, trust",,
"Yes, I consent",21–30 minutes,Internal thoughts/worries,Sometimes,Almost always,Rarely,Very strongly aligned,I feel much more focused and energized,None of the above,Automatically quiet my mind & focus ,Scattered ,35 - 44,Female,Other,United Kingdom,Yes definitely,Protection,Accountability ,Resilience 
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Aligning tasks with personal priorities or values",make everything more interesting and exciting to hold attention,bored,25 - 34,Male,Unemployed,united states ,Somewhat,honesty,loyalty ,hard working
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Rarely,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise",focus for longer periods,frustrated,45 - 54,Male,Employed full-time,United Kingdom,Not really,honesty ,loyalty ,integrity
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment",Rarely,Almost always,Sometimes,Neutral,Neutral,None of the above,The ability to block out noise.,Fidgety,55 +,Female,Self-employed,England,Not really,Respecting nature,,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Background noise / environment",Rarely,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",less household tasks,lost,55 +,Female,Employed part-time,England,Yes definitely,honesty ,caring,loyalty
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Often,Not aligned at all,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces",I'd get better quality sleep.,Frustrated ,45 - 54,Female,Employed full-time,North east England ,Somewhat,"Honesty, kindness, integrity ",Doing the right thing,
"Yes, I consent",5–10 minutes,"Social media scrolling, Background noise / environment, Internal thoughts/worries",Often,Often,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",I wish I could not let my mind wander,"Frustrating, but expected ",25 - 34,Female,Employed full-time,United Kingdom,Somewhat,Being a good mother,Honesty,Kindness
"Yes, I consent",More than 30 minutes,"Social media scrolling, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Sometimes,Never,Somewhat misaligned,Neutral,"Scheduling focus time / using timers, Taking breaks / exercise",Unsure,Unbothered,25 - 34,Female,Employed full-time,England/Nottinghamshire,Not really,Kindness,Loyalty,
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Neutral,Neutral,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Silence,Frustrated,35 - 44,Male,Employed full-time,UK,Somewhat,Growth,Honesty,Connection
"Yes, I consent",More than 30 minutes,"Colleagues, family, or friends",Rarely,Rarely,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Aligning tasks with personal priorities or values",NOTHING,FRUSTRATED,55 +,Male,Employed part-time,UK,Yes definitely,"LOYALTY, PROTECTIVE, ",CARING," PROTECTIVE, "
"Yes, I consent",11–20 minutes,Multitasking / switching tasks,Often,Almost always,Sometimes,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,To be able to focus for longer periods,I get frustrated and feel guilty,45 - 54,Male,Employed full-time,United Kingdom,Not really,Being honest,Being open,Being friendly
"Yes, I consent",11–20 minutes,"Smartphone notifications, Background noise / environment",Rarely,Sometimes,Sometimes,Somewhat aligned,Neutral,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Not live in a big city with continuous noise of some form or another.,frustrated,55 +,Female,Other,united kingdom,Somewhat,honesty,integrity,strength
