Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you canâ€™t stay focused long enough to finish important tasks?,Q4 How often do you feel drained even on days you havent worked,Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. Whatâ€™s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,Q15 Do you feel confident you could name your top 3 values,"Q16a. Please try listing up to 3 values that are most important to you. Don't worry if youâ€™re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 â€“ optional),Q16c. Please list a third personal value (Value 3 â€“ optional),Started at,Completed at,Reviewed at,Archived at,Time taken,Age,Sex,Ethnicity simplified,Country of residence,Nationality,Language,Employment status
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise",Remove day to day distractionss,unproductive,25 - 34,Female,Employed full-time,uk,Not really,"loyalty, ",success,confidence,2025-09-03T09:09:23.735000Z,2025-09-03T09:11:30.645000Z,,2025-09-03T09:11:31.025255Z,127,27,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Often,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Taking breaks / exercise",To have  lock on my phone between 9-5.,Frustrated,35 - 44,Female,Employed full-time,UK/West Midlands,Yes definitely,Honesty,Loyalty,Trust,2025-09-03T09:08:49.635000Z,2025-09-03T09:11:37.618000Z,,2025-09-03T09:11:40.013187Z,168,36,Female,Mixed,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise","Getting more sleep, sometimes I work late as that is the best time to work but then it can set me back the next day and I struggle to focus when tired",Frustrated,45 - 54,Female,Employed part-time,United Kingdom/North West,Yes definitely,Consistency,Honesty,Kindnes,2025-09-03T09:08:51.017000Z,2025-09-03T09:11:39.666000Z,,2025-09-03T09:11:40.315926Z,169,54,Female,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",More than 30 minutes,Multitasking / switching tasks,Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Feel more enthusiastic about exercise,Irritation,55 +,Female,Other,England,Yes definitely,Integrity ,Intelligence,Decency,2025-09-03T09:08:46.135000Z,2025-09-03T09:11:42.090000Z,,2025-09-03T09:11:42.502803Z,176,65,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Internal thoughts/worries",Sometimes,Often,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise",stop being distracted by other things,annoyed,25 - 34,Female,Employed full-time,UK,Not really,family,loyal,caring,2025-09-03T09:09:16.584000Z,2025-09-03T09:11:55.027000Z,,2025-09-03T09:11:55.424766Z,159,32,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Rarely,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise, Aligning tasks with personal priorities or values",Have enough will power to turn off emails,resigned,55 +,Female,Employed part-time,UK,Not really,honesty,loyal,being true to myself,2025-09-03T09:08:53.325000Z,2025-09-03T09:12:00.459000Z,,2025-09-03T09:12:00.913892Z,188,58,Female,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",21â€“30 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Often,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,Silencing notifications,Being able to ignore noises ,Frustrated,55 +,Female,Other,Tyne & Wear,Yes definitely,"Honesty, kindness, empathy",,,2025-09-03T09:06:54.047000Z,2025-09-03T09:12:02.817000Z,,2025-09-03T09:12:03.255120Z,309,64,Female,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Remote work,Frustrated,25 - 34,Female,Employed full-time,North east England ,Somewhat,Kindness,Loyalty,Friendship ,2025-09-03T09:08:49.779000Z,2025-09-03T09:11:57.670000Z,,2025-09-03T09:11:58.100610Z,188,27,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Rarely,Never,Often,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise",Probably my phone,frustration ,35 - 44,Female,Employed full-time,united Kingdom ,Not really,family,friendsip,honesty,2025-09-03T09:07:59.773000Z,2025-09-03T09:12:14.609000Z,,2025-09-03T09:12:15.649486Z,255,37,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Sometimes,Rarely,Rarely,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",i would only work on one project at a time and not deal with any outside questions,annoyed,35 - 44,Female,Employed full-time,UK,Yes definitely,"Honesty, directness, equality",Directness,Equality,2025-09-03T09:09:30.565000Z,2025-09-03T09:12:10.575000Z,,2025-09-03T09:12:11.313821Z,161,38,Female,White,United Kingdom,Romania,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Less screen time ,Disappointed,25 - 34,Female,Self-employed,England,Somewhat,respect ,honesty,kindness,2025-09-03T09:09:20.290000Z,2025-09-03T09:12:16.049000Z,,2025-09-03T09:12:16.498015Z,176,31,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Sometimes,Often,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Taking breaks / exercise",Relaxed work environment,Tired and lazy,25 - 34,Male,Employed full-time,United Kingdom,Not really,"Time management, prioritising tasks & communication ",,,2025-09-03T09:08:57.099000Z,2025-09-03T09:12:13.098000Z,,2025-09-03T09:12:13.534426Z,196,31,Prefer not to say,Other,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment",Sometimes,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,Working in quiet spaces,learning to be better at taking breaks when needed,frustrated ,25 - 34,Female,Self-employed,England,Somewhat,kindness,honesty,passion,2025-09-03T09:09:25.555000Z,2025-09-03T09:12:04.886000Z,,2025-09-03T09:12:05.333413Z,160,31,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Often,Neutral,Neutral,"Working in quiet spaces, Using apps/tools to block distractions",Work from home more,Frustrated,55 +,Male,Employed full-time,Australia,Yes definitely,Honesty,Integrity,Empathy,2025-09-03T09:09:07.200000Z,2025-09-03T09:12:18.341000Z,,2025-09-03T09:12:18.989111Z,192,58,Male,White,Australia,Australia,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Email or messaging apps, Social media scrolling",Sometimes,Often,Sometimes,Very strongly aligned,I feel somewhat more focused,None of the above,Less brain fog!,disappointed,55 +,Male,Self-employed,UK / London,Not really,Integrity,,,2025-09-03T09:09:08.220000Z,2025-09-03T09:15:17.192000Z,,2025-09-03T09:15:17.553528Z,369,61,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",5â€“10 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Often,Often,Somewhat aligned,I feel somewhat more focused,Aligning tasks with personal priorities or values,Less scrolling on phone,Frustrated ,45 - 54,Female,Employed full-time,England,Yes definitely,Kindness ,Fairness,Integrity,2025-09-03T09:09:24.626000Z,2025-09-03T09:12:33.529000Z,,2025-09-03T09:12:34.001556Z,189,50,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",Less interruption ,Frustrated ,25 - 34,Female,Employed part-time,United Kingdom,Yes definitely,Family,Health,Welfare,2025-09-03T09:10:02.906000Z,2025-09-03T09:12:08.220000Z,,2025-09-03T09:12:08.651289Z,126,26,Female,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",A private space where I can work quietly,Frustrated,25 - 34,Male,Employed full-time,UK,Somewhat,Hardworking,Loyal,Reliable,2025-09-03T09:09:57.408000Z,2025-09-03T09:12:23.998000Z,,2025-09-03T09:12:24.398649Z,147,31,Male,Asian,United Kingdom,Malaysia,Chinese,Full-Time
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Rarely,Sometimes,Sometimes,Neutral,No noticeable difference,Aligning tasks with personal priorities or values,My willpower to not look at my phone when completing a task,Inadequate ,18 - 24,Female,Employed full-time,United Kingdom ,Somewhat,Hard-working ,Understanding,Empathetic ,2025-09-03T09:10:05.682000Z,2025-09-03T09:12:32.846000Z,,2025-09-03T09:12:33.521980Z,148,24,Female,Black,United Kingdom,United Kingdom,English,Due to start a new job within the next month
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment, Internal thoughts/worries",Often,Often,Often,Neutral,No noticeable difference,"Working in quiet spaces, Taking breaks / exercise","not sure, its an odd question, i just wish i had a better ability to focus",frustrated,25 - 34,Female,Employed part-time,UK,"No, not at all",respect,,,2025-09-03T09:09:54.343000Z,2025-09-03T09:12:24.508000Z,,2025-09-03T09:12:24.979271Z,151,25,Female,White,United Kingdom,United States,English,Other
"Yes, I consent",5â€“10 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Almost always,Often,Often,Not aligned at all,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Using apps/tools to block distractions",ADHD medication,frustrated,35 - 44,Male,Employed full-time,United Kingdom,Not really,Honesty,Kindness,Caring,2025-09-03T09:10:22.140000Z,2025-09-03T09:12:28.143000Z,,2025-09-03T09:12:28.693208Z,127,41,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Social media scrolling, Background noise / environment, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Learn to tell people more to give me space to work ,Annoyed ,45 - 54,Male,Employed full-time,Scotland ,Somewhat,Honesty ,Loyalty,Trust,2025-09-03T09:08:44.063000Z,2025-09-03T09:12:44.607000Z,,2025-09-03T09:12:45.036472Z,241,47,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Almost always,Often,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Remove social media,Frustrated,25 - 34,Male,Employed full-time,United Kingdom,Somewhat,Benevolence,Honesty,Open-mindedness,2025-09-03T09:08:46.496000Z,2025-09-03T09:12:20.055000Z,,2025-09-03T09:12:20.521489Z,214,26,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Neutral,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Reduce my attention to social media,Frustrated,25 - 34,Male,Employed full-time,"London, England",Yes definitely,Family,Personal Responsibility,Security,2025-09-03T09:09:42.924000Z,2025-09-03T09:12:42.830000Z,,2025-09-03T09:12:43.234441Z,180,33,Male,Mixed,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Sometimes,Rarely,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",To try and be less distracted or succumb to being distracted. ,Annoyed,35 - 44,Male,Employed full-time,United Kingdom,Yes definitely,Loyalty,Kindness,Respect,2025-09-03T09:10:43.358000Z,2025-09-03T09:12:38.500000Z,,2025-09-03T09:12:38.900008Z,116,35,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",work on my own ,distress,45 - 54,Male,Employed full-time,UK,Somewhat,honesty,generous,kind,2025-09-03T09:09:19.948000Z,2025-09-03T09:12:45.455000Z,,2025-09-03T09:12:45.915328Z,206,48,Male,White,United Kingdom,Italy,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Background noise / environment, Internal thoughts/worries",Never,Sometimes,Rarely,Very strongly aligned,Neutral,"Silencing notifications, Working in quiet spaces",Less background noise,fine,55 +,Female,Employed full-time,uk,Yes definitely,"Personal belief, slow living, listen",,,2025-09-03T09:09:17.397000Z,2025-09-03T09:12:44.162000Z,,2025-09-03T09:12:44.576042Z,207,57,Female,Mixed,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",turn phone off,frustrated,55 +,Male,Unemployed,uk,Somewhat,family ,honesty,loyal,2025-09-03T09:08:53.948000Z,2025-09-03T09:12:46.282000Z,,2025-09-03T09:12:46.736663Z,233,55,Male,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",5â€“10 minutes,"Social media scrolling, Multitasking / switching tasks",Rarely,Sometimes,Sometimes,Somewhat aligned,No noticeable difference,"Using apps/tools to block distractions, Taking breaks / exercise",Be able to focus for longer,Resigned,25 - 34,Female,Employed full-time,Scotland,Not really,Creativity,,,2025-09-03T09:10:01.326000Z,2025-09-03T09:12:45.243000Z,,2025-09-03T09:12:45.637621Z,164,33,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Taking breaks / exercise",I would get better quality of sleep and sleep/wake at a consistent time everyday. ,frustrated,18 - 24,Female,Employed full-time,uk,Yes definitely,growth,gratitude,freedom,2025-09-03T09:09:35.301000Z,2025-09-03T09:13:03.318000Z,,2025-09-03T09:13:03.693861Z,209,23,Female,Asian,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Almost always,Often,Sometimes,Neutral,I feel somewhat more focused,None of the above,Do tasks that I am confident in and have interest in,Annoyed,25 - 34,Female,Employed full-time,United Kingdom,Not really,Kindness,Empathy,,2025-09-03T09:09:47.886000Z,2025-09-03T09:12:51.910000Z,,2025-09-03T09:12:52.839183Z,185,30,Female,Black,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Often,Often,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Using apps/tools to block distractions, Aligning tasks with personal priorities or values",lose my phone,disappointed,45 - 54,Male,Employed full-time,UK,Somewhat,"Caring, friendly, loyal",,,2025-09-03T09:09:42.951000Z,2025-09-03T09:12:54.017000Z,,2025-09-03T09:12:54.705426Z,192,54,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Often,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,"More will power to ignore phone notifications and other distractions, such as playing with pets",Fine,45 - 54,Male,Employed full-time,United Kingdom,Not really,Health,Family happiness,Financially OK,2025-09-03T09:09:34.556000Z,2025-09-03T09:12:52.746000Z,,2025-09-03T09:12:53.712792Z,199,54,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",5â€“10 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Often,Almost always,Often,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Be more self disciplined,frustrated,18 - 24,Female,Employed full-time,Scotland,Somewhat,Honesty,Loyalty,Politeness,2025-09-03T09:09:29.269000Z,2025-09-03T09:12:50.220000Z,,2025-09-03T09:12:50.789548Z,201,24,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,Smartphone notifications,Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Aligning tasks with personal priorities or values",I would spend less time looking at distracting material on the internet during work time.,absent,55 +,Male,Employed full-time,United Kingdom,Somewhat,honesty,loyalty,compassion,2025-09-03T09:09:36.689000Z,2025-09-03T09:17:10.984000Z,,2025-09-03T09:17:11.369851Z,455,56,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Often,Often,Often,Neutral,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise",I would like to feel less tired,Conflicted ,35 - 44,Female,Employed full-time,United Kingdom,Not really,Integrity,Honesty,Loyalty,2025-09-03T09:09:51.904000Z,2025-09-03T09:13:00.820000Z,,2025-09-03T09:13:01.476794Z,189,41,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Often,Often,Somewhat misaligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",Being able to ignore family and friends when they reach out and not worry about what they want.,Bored.,35 - 44,Male,Employed full-time,United Kingdom,Yes definitely,Honesty.,Loyalty.,Respect.,2025-09-03T09:08:35.709000Z,2025-09-03T09:12:55.912000Z,,2025-09-03T09:12:56.337968Z,261,42,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",5â€“10 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Rarely,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Taking breaks / exercise",To be able to sit still and concentrate ,Frustrated,25 - 34,Female,Employed full-time,UK,Somewhat,Honesty ,Kindness,Respectful,2025-09-03T09:10:40.369000Z,2025-09-03T09:12:53.168000Z,,2025-09-03T09:12:53.994226Z,133,28,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Often,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,None of the above,I think my working environment contributes a lot. Working alone makes me feel less guilty for getting distracted.,Lazy,25 - 34,Male,Employed full-time,UK,Not really,"Growth, Hard work, honesty",,,2025-09-03T09:09:47.843000Z,2025-09-03T09:12:54.243000Z,,2025-09-03T09:12:55.050682Z,187,27,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,Physical and cognitive fatigue due to illness ,Almost always,Almost always,Never,Very strongly aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",Have optimal physical health,Infuriated ,45 - 54,Male,Unemployed,England ,Somewhat,Trustworthiness ,Honesty ,Morality ,2025-09-03T09:08:52.664000Z,2025-09-03T09:13:00.546000Z,,2025-09-03T09:13:01.386987Z,248,48,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
